sample,isi,spike_num,amp,NAME,DESC,SIZE,COLOR,PIC
2.54E+05,0.13937,-1,-355.0365,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0059.png
2.57E+05,0.12043,-1,-309.504,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0060.png
2.59E+05,0.057167,-1,-287.0205,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0061.png
2.61E+05,0.076267,-1,-286.143,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0062.png
2.65E+05,0.12793,-1,-272.61,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0063.png
2.69E+05,0.1325,-1,-322.725,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0064.png
2.95E+05,0.8605,-1,-397.839,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0065.png
3.13E+05,0.61413,-1,-305.8575,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0066.png
3.17E+05,0.111,-1,-376.467,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0067.png
3.21E+05,0.15747,-1,-373.191,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0068.png
3.23E+05,0.050133,1,-362.31,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0069.png
3.23E+05,0.016467,2,-336.375,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0070.png
3.23E+05,0.0042667,3,-190.88355,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0071.png
3.30E+05,0.23383,-1,-333.177,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0072.png
3.32E+05,0.0451,-1,-230.0415,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0073.png
3.35E+05,0.11263,1,-366.6,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0074.png
3.35E+05,0.0097333,2,-301.938,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0075.png
3.36E+05,0.0048667,3,-161.06415,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0076.png
3.36E+05,0.0076667,4,-74.42955,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0077.png
3.42E+05,0.19313,-1,-327.171,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0078.png
3.44E+05,0.0766,-1,-384.5595,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0079.png
3.62E+05,0.61027,-1,-371.475,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0080.png
3.66E+05,0.12347,-1,-381.9465,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0081.png
3.69E+05,0.1062,-1,-344.994,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0082.png
3.71E+05,0.068933,-1,-344.526,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0083.png
3.79E+05,0.25193,1,-384.0525,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0084.png
3.79E+05,0.010867,2,-278.9085,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0085.png
3.79E+05,0.0045333,3,-147.09825,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0086.png
3.79E+05,0.0057667,4,-35.36715,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0087.png
3.80E+05,0.010533,5,-25.5567,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike0088.png
3.87E+05,0.23583,-1,-358.8195,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0089.png
3.91E+05,0.14577,-1,-362.0955,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0090.png
3.94E+05,0.096833,1,-376.6815,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0091.png
3.94E+05,0.0081667,2,-317.3625,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0092.png
3.94E+05,0.0078333,3,-255.255,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0093.png
3.95E+05,0.0059333,4,-82.3836,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0094.png
3.99E+05,0.13113,-1,-322.2765,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0095.png
4.08E+05,0.29767,-1,-357.942,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0096.png
4.08E+05,0.0319,1,-342.0495,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0097.png
4.09E+05,0.0050667,2,-265.2195,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0098.png
4.09E+05,0.0063667,3,-178.62975,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0099.png
4.09E+05,0.010067,4,-64.1589,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0100.png
4.10E+05,0.019033,5,-150.97095,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike0101.png
4.20E+05,0.3354,-1,-388.6935,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0102.png
4.22E+05,0.088567,-1,-354.549,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0103.png
4.23E+05,0.032333,-1,-250.263,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0104.png
4.37E+05,0.46387,-1,-381.0885,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0105.png
4.43E+05,0.19777,-1,-287.2935,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0106.png
4.47E+05,0.13417,-1,-318.981,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0107.png
4.51E+05,0.1272,-1,-364.2015,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0108.png
4.56E+05,0.1604,-1,-384.2475,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0109.png
4.57E+05,0.0208,-1,-379.197,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0110.png
4.60E+05,0.12183,-1,-383.4285,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0111.png
4.77E+05,0.55587,-1,-363.8505,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0112.png
4.93E+05,0.5391,-1,-395.499,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0113.png
4.94E+05,0.0381,-1,-353.067,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0114.png
4.95E+05,0.043167,-1,-345.6375,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0115.png
5.16E+05,0.68483,-1,-449.4555,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0116.png
5.26E+05,0.33847,-1,-372.5865,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0117.png
5.29E+05,0.083833,-1,-363.9675,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0118.png
5.32E+05,0.10357,-1,-295.4835,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0119.png
5.34E+05,0.0862,-1,-347.49,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0120.png
5.42E+05,0.24467,-1,-360.8475,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0121.png
5.51E+05,0.31103,-1,-376.311,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0122.png
5.52E+05,0.035267,-1,-367.9455,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0123.png
5.57E+05,0.14847,-1,-259.7205,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0124.png
5.67E+05,0.3433,-1,-364.8255,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0125.png
5.71E+05,0.12807,-1,-396.552,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0126.png
5.72E+05,0.0584,-1,-371.826,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0127.png
5.77E+05,0.14893,-1,-381.303,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0128.png
5.87E+05,0.34963,-1,-317.967,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0129.png
6.00E+05,0.4253,-1,-384.033,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0130.png
6.05E+05,0.15903,-1,-372.567,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0131.png
6.10E+05,0.17593,-1,-356.7135,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0132.png
6.15E+05,0.1652,-1,-387.738,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0133.png
6.17E+05,0.070867,-1,-361.0425,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0134.png
6.25E+05,0.25517,1,-415.194,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0135.png
6.25E+05,0.0051667,2,-344.3505,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0136.png
6.29E+05,0.1315,-1,-350.142,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0137.png
6.33E+05,0.1449,1,-364.1625,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0138.png
6.34E+05,0.0058333,2,-291.2715,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0139.png
6.34E+05,0.0046333,3,-278.4405,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0140.png
6.34E+05,0.0075333,4,-95.277,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0141.png
6.34E+05,0.0089667,5,-44.92995,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike0142.png
6.43E+05,0.29623,1,-350.5905,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0143.png
6.44E+05,0.0181,2,-361.764,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0144.png
6.44E+05,0.0044333,3,-185.88375,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0145.png
6.44E+05,0.0068,4,-116.8752,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0146.png
6.44E+05,0.011333,5,-68.5932,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike0147.png
6.77E+05,1.0928,-1,-385.086,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0148.png
